,Index,Segment
0,1,Financials
1,2,Financials
2,9,Industrials
3,27,Utilities
4,39,Industrials
5,60,Materials
6,61,Industrials
7,63,Telecommunication Services
8,69,Consumer Discretionary
9,100,Consumer Discretionary
10,157,Industrials
11,166,Financials
12,333,Consumer Discretionary
13,338,Industrials
14,402,Financials
15,413,IT
16,423,Health Care
17,425,Industrials
18,503,IT
19,559,Consumer Discretionary
20,568,Consumer Staples
21,623,Health Care
22,625,Industrials
23,630,Materials
24,651,Consumer Discretionary
25,686,Financials
26,709,Materials
27,712,Financials
28,725,IT
29,728,Financials
30,729,Consumer Staples
31,738,Industrials
32,750,Financials
33,768,Industrials
34,776,Financials
35,778,Materials
36,783,Financials
37,792,Materials
38,800,Consumer Discretionary
39,826,Industrials
40,839,Consumer Discretionary
41,858,Consumer Staples
42,876,Consumer Staples
43,883,Utilities
44,895,Consumer Staples
45,898,Materials
46,917,Consumer Discretionary
47,963,Consumer Staples
48,977,IT
49,999,Health Care
50,1979,Financials
51,2007,Health Care
52,2008,IT
53,2024,Consumer Discretionary
54,2027,Consumer Discretionary
55,2065,IT
56,2081,Industrials
57,2129,IT
58,2142,Financials
59,2146,Financials
60,2152,IT
61,2153,IT
62,2183,Industrials
63,2195,IT
64,2202,Industrials
65,2230,IT
66,2236,IT
67,2241,IT
68,2292,Consumer Discretionary
69,2294,Health Care
70,2304,Consumer Staples
71,2385,Consumer Staples
72,2399,Health Care
73,2415,IT
74,2422,Health Care
75,2424,Health Care
76,2456,IT
77,2465,Telecommunication Services
78,2470,Materials
79,2475,IT
80,2500,Financials
81,2568,Consumer Staples
82,2594,Consumer Discretionary
83,2673,Financials
84,2736,Financials
85,300002,IT
86,300003,Health Care
87,300015,Health Care
88,300017,IT
89,300024,Industrials
90,300027,Consumer Discretionary
91,300058,Consumer Discretionary
92,300059,IT
93,300070,Industrials
94,300085,IT
95,300124,Industrials
96,300133,Consumer Discretionary
97,300144,Consumer Discretionary
98,300168,IT
99,300251,Consumer Discretionary
100,300315,IT
101,600000,Financials
102,600008,Utilities
103,600009,Industrials
104,600010,Materials
105,600011,Utilities
106,600015,Financials
107,600016,Financials
108,600018,Industrials
109,600019,Materials
